EPC,First Seen,Last Seen,Probability%,Direction
A037,2026-04-23 09:29:29,2026-04-23 09:29:29,100.0,OUT
A050,2026-04-23 09:29:29,2026-04-23 09:29:29,100.0,OUT
A057,2026-04-23 09:29:29,2026-04-23 09:29:29,100.0,OUT
A032,2026-04-23 09:29:29,2026-04-23 09:29:29,100.0,OUT
A022,2026-04-23 09:29:29,2026-04-23 09:29:29,100.0,OUT
A059,2026-04-23 09:29:29,2026-04-23 09:29:29,100.0,OUT
A052,2026-04-23 09:29:29,2026-04-23 09:29:29,100.0,OUT
A025,2026-04-23 09:29:29,2026-04-23 09:29:29,100.0,OUT
A033,2026-04-23 09:29:29,2026-04-23 09:29:29,100.0,OUT
A035,2026-04-23 09:29:29,2026-04-23 09:29:29,99.8,OUT
A058,2026-04-23 09:29:29,2026-04-23 09:29:29,99.8,OUT
A048,2026-04-23 09:29:29,2026-04-23 09:29:29,99.8,OUT
A040,2026-04-23 09:29:29,2026-04-23 09:29:29,99.8,OUT
A039,2026-04-23 09:29:29,2026-04-23 09:29:29,99.7,OUT
